Organization,Address,Reviewer,Review Title,Review,Location,Rating Date,Rating
Taal Vista Hotel,Tagaytay Luzon 4120,Roldan A,Legendary hotel in Tagaytay city,room: BIG bed: well-satisfied comfort bathroom: clean and fresh linens: not bad view: awesome food & bev: superb ambiance: calm and luxurious green architecture: yes energy conservation: yes amenities: excellent services: 5 star I would like to commend the FnB Director Mr. Mario Gatmaitan and...More,2,1 week ago,50
Taal Vista Hotel,Tagaytay Luzon 4120,Leng A,Amazing Taal Lake View,Dear Roldan A  Thank you very much for considering Taal Vista as a legendary hotel in Tagaytay City. I truly appreciate your kind words and will definitely share your wonderful praises to Mario and Rorie. It is our pleasure to have you as our guest...More,2,2 weeks ago,50
Taal Vista Hotel,Tagaytay Luzon 4120,Jian C,Best in Tagaytay,Stayed overnight in Premier King room with Taal Lake view. Amazing view.I've been to Tagaytay so many times already  booked quite a number of hotels and airbnb rooms but I can honestly say that the view from the Premier room of Taal Vista gave best...More,2,2 weeks ago,50
Taal Vista Hotel,Tagaytay Luzon 4120,Angelee R,Lunch before going home,Dear Leng A  Many thanks for your kind review of the Taal Vista Hotel Lake view Premier King room. I agree with you that the view is quite mystical and magical with the fog rolling through. We are glad that you enjoyed the overall stay...More,2,3 weeks ago,50
Taal Vista Hotel,Tagaytay Luzon 4120,Toni Rose B,Classic Stay,Everything was perfect expect for some small things. Room was excellent except they forgot to add hand towels on our 1st day. Toilet also didn't have bidet. Buffet breakfast has good quality food but short in variety of choices  and somehow short-staffed. Glasses for the...More,2,3 weeks ago,50
Taal Vista Hotel,Tagaytay Luzon 4120,cara060715,Nice hotel,Nice hotel  we booked for a mountain view category it is so far from the restaurant. Creepy yung daanan  and yung room namin(433) pinakadulo ata yun pero maganda naman. Creepy lang talaga lalo na pag gabi na . Good buffet breakfast suggest ko lang...More,2,4 weeks ago,50
Taal Vista Hotel,Tagaytay Luzon 4120,Mari Joy C,Nice and cold Weather,Dear cara060715  Thank you very much for choosing Taal Vista Hotel and for taking the time to share your experience during your recent stay. Your feedback is extremely valuable to us and your feedback regarding our good buffet breakfast is very much appreciated. I would...More,2,4 weeks ago,50
Taal Vista Hotel,Tagaytay Luzon 4120,JoannaSyjuco,Courteous Staff  Nice View of Taal Lake and Volcano Family-Friendly,We stayed in one of their Lake wing family room  and the view of the room is really awesome 360 degrees of the whole lake :-)   the staff are friendly  the rooms are clean and the rooms are big good for a big family. We...More,2,4 weeks ago,50
Taal Vista Hotel,Tagaytay Luzon 4120,Irene730,Birthday Celebration,Dear Ms. Mari Joy  Warmest greetings from Taal Vista Hotel! Thank you very much for sharing this review. We are happy to note that you had a pleasant stay. Again  thank you and we look forward to being of service again. Kind regards  Rorie Ylagan...More,2,4 weeks ago,50
Taal Vista Hotel,Tagaytay Luzon 4120,joyfultrav,Nice hotel  delicious breakfast  friendly staff and amazing views,Courteous staff. Neat rooms (Lake Wing). They gave us petite cakes - my son's birthday and our anniversary (free). Huge park. Nice view of Taal Lake and Volcano. Clean swimming pool (cold). Sumptuous buffet breakfast - with bacons :) Walking distance from Skyranch. Huge parking...More,2,4 weeks ago,50
